Annee,Mois,Jour,Heure,Minute,Sec,Hs (m),Tpeak (s),Hrms (m),H1/10 (m),H1/100 (m),Hmax (m)
2022,8,26,18,0,0,3.304217612821629,11.00808674875942,2.331309093490816,4.196356368283468,5.518043413412119,6.427357213418543
2022,8,26,19,0,0,3.122861800901359,11.34267588296563,2.203352492858181,3.966034487144726,5.21517920750527,6.074584266074519
2022,8,26,20,0,0,2.559350904766018,11.05889955686854,1.805764249473802,3.250375649052843,4.274116010959251,4.978444045448272
2022,8,26,21,0,0,2.954859105062558,11.40748500142844,2.084817257460804,3.752671063429448,4.934614705454471,5.74778577230002
2022,8,26,22,0,0,2.425388984536601,10.69362613818961,1.711246672423046,3.080244010361483,4.050399604176123,4.717861597437325
2022,8,26,23,0,0,2.586397063738644,9.9600897979546,1.824846817193376,3.284724270948078,4.319283096443535,5.031054177509012
2022,8,27,0,0,0,2.811739587355503,10.3867163790861,1.98383848663416,3.570909275941489,4.69560511088369,5.469389984762923
2022,8,27,1,0,0,2.423357199374493,9.430798299480395,1.709813135114225,3.077663643205606,4.047006522955402,4.71390937317488
2022,8,27,2,0,0,3.114259398137047,8.635380622837371,2.197283019796694,3.955109435634049,5.200813194888868,6.057850890147527
2022,8,27,3,0,0,2.469158210369007,11.63461538461539,1.742128292871466,3.135830927168639,4.123494211316241,4.803001404297512
2022,8,27,4,0,0,3.063502713780442,10.20879495483211,2.161471359167312,3.890648446501161,5.116049532013338,5.959119093530156
2022,8,27,5,0,0,2.843877437038422,10.40747176368376,2.006513525021553,3.611724345038796,4.749275319854164,5.531904462980621
2022,8,27,6,0,0,2.850984216279273,10.15599830436626,2.011527752597042,3.620749954674676,4.761143641186385,5.545728555147131
2022,8,27,7,0,0,2.84020058114652,10.54025516937967,2.003919298920045,3.60705473805608,4.743134970514689,5.524752250563431
2022,8,27,8,0,0,2.608626542511005,10.5868316394167,1.84053094943832,3.312955708988976,4.356406325993378,5.074294913283694
2022,8,27,9,0,0,2.527796619599459,9.918854020038088,1.783500948272952,3.210301706891313,4.221420354731097,4.917064715711463
2022,8,27,10,0,0,2.407516357551083,10.0909780136467,1.698636541161042,3.057545774089875,4.020552317110308,4.683095800677344
2022,8,27,11,0,0,2.072713034101627,11.04360652715036,1.462414196282815,2.632345553309066,3.461430766949716,4.031837073740242
2022,8,27,12,0,0,2.264454984682084,10.42558746736292,1.597698794747914,2.875857830546246,3.781639824419079,4.404813116358041
2022,8,27,13,0,0,2.294078192526471,8.837329398745851,1.618599613615899,2.913479304508618,3.831110581519206,4.462436118512742
