"Date";"Significant height (cm)";"Significant period (sec)";"EN (22+ cm2)";"EN (20 cm2)";"EN (17 cm2)";"EN (15 cm2)";"EN (13 cm2)";"EN (11 cm2)";"EN (9 cm2)";"EN (7 cm2)";"EN (5 cm2)";"EN (3 cm2)"
"2016-08-03 21:46:00";"90";"10";"0";"0";"0";"74";"0";"0";"316";"111";"10";"0"
"2016-08-03 22:46:00";"67";"10";"1";"0";"0";"59";"0";"0";"165";"45";"12";"0"
"2016-08-03 23:46:00";"170";"16";"2";"0";"0";"971";"0";"0";"639";"113";"75";"0"
"2016-08-04 00:46:00";"92";"16";"1";"0";"0";"246";"0";"0";"195";"79";"11";"0"
"2016-08-04 01:46:00";"176";"10";"1";"0";"0";"589";"0";"0";"1211";"77";"62";"0"
"2016-08-04 02:46:00";"128";"10";"1";"0";"0";"367";"0";"0";"570";"65";"17";"0"
"2016-08-04 03:46:00";"173";"10";"1";"0";"0";"270";"0";"0";"1072";"356";"175";"0"
"2016-08-04 04:46:00";"167";"10";"0";"0";"0";"323";"0";"0";"934";"298";"181";"0"
"2016-08-04 05:46:00";"169";"10";"1";"0";"0";"550";"0";"0";"999";"122";"113";"0"
"2016-08-04 06:46:00";"167";"16";"2";"0";"0";"820";"0";"0";"436";"428";"61";"0"
"2016-08-04 07:46:00";"171";"10";"0";"0";"0";"447";"0";"0";"521";"387";"479";"0"
"2016-08-04 08:46:00";"236";"10";"2";"0";"0";"1392";"0";"0";"1518";"250";"332";"0"
"2016-08-04 09:46:00";"186";"10";"1";"0";"0";"304";"0";"0";"1103";"378";"369";"0"
"2016-08-04 10:46:00";"266";"10";"1";"0";"0";"1325";"0";"0";"2765";"248";"96";"0"
"2016-08-04 11:46:00";"143";"10";"3";"0";"0";"193";"0";"0";"720";"265";"97";"0"
"2016-08-04 12:46:00";"208";"10";"1";"0";"0";"468";"0";"0";"1329";"375";"535";"0"
"2016-08-04 13:46:00";"257";"7";"1";"0";"0";"605";"0";"0";"778";"1924";"832";"0"
"2016-08-04 14:46:00";"234";"16";"3";"0";"0";"1315";"0";"0";"701";"347";"1055";"0"
"2016-08-04 15:46:00";"353";"10";"16";"0";"0";"1059";"0";"0";"5666";"575";"452";"0"
"2016-08-04 16:46:00";"235";"16";"3";"0";"0";"1924";"0";"0";"840";"386";"302";"0"
"2016-08-04 17:46:00";"418";"10";"3";"0";"0";"1172";"0";"0";"8412";"419";"912";"0"
"2016-08-04 18:46:00";"314";"10";"2";"0";"0";"578";"0";"0";"4390";"778";"430";"0"
"2016-08-04 19:46:00";"286";"10";"2";"0";"0";"1093";"0";"0";"3227";"513";"276";"0"
"2016-08-04 20:46:00";"209";"10";"3";"0";"0";"829";"0";"0";"1094";"551";"261";"0"
"2016-08-04 21:46:00";"390";"10";"6";"0";"0";"923";"0";"0";"7630";"208";"723";"0"
"2016-08-04 22:46:00";"236";"10";"1";"0";"0";"289";"0";"0";"1871";"644";"691";"0"
"2016-08-04 23:46:00";"152";"10";"1";"0";"0";"288";"0";"0";"780";"202";"165";"0"
"2016-08-05 00:46:00";"246";"10";"2";"0";"0";"914";"0";"0";"1630";"642";"600";"0"
"2016-08-05 01:46:00";"224";"7";"1";"0";"0";"771";"0";"0";"486";"1239";"648";"0"
"2016-08-05 02:46:00";"297";"10";"1";"0";"0";"803";"0";"0";"3627";"202";"868";"0"
"2016-08-05 03:46:00";"210";"7";"2";"0";"0";"298";"0";"0";"729";"1160";"576";"0"
"2016-08-05 04:46:00";"214";"10";"2";"0";"0";"526";"0";"0";"1250";"655";"442";"0"
"2016-08-05 05:46:00";"216";"10";"1";"0";"0";"715";"0";"0";"1495";"490";"203";"0"
"2016-08-05 06:46:00";"201";"10";"1";"0";"0";"68";"0";"0";"1123";"799";"543";"0"
"2016-08-05 07:46:00";"170";"10";"1";"0";"0";"152";"0";"0";"891";"359";"410";"0"
"2016-08-05 08:46:00";"184";"10";"0";"0";"0";"584";"0";"0";"923";"343";"258";"0"
"2016-08-05 09:46:00";"283";"10";"1";"0";"0";"1200";"0";"0";"3054";"405";"346";"0"
"2016-08-05 10:46:00";"182";"10";"1";"0";"0";"374";"0";"0";"1310";"262";"133";"0"
"2016-08-05 11:46:00";"150";"7";"1";"0";"0";"438";"0";"0";"352";"559";"54";"0"
"2016-08-05 12:46:00";"223";"10";"1";"0";"0";"204";"0";"0";"2135";"129";"644";"0"
"2016-08-05 13:46:00";"161";"10";"1";"0";"0";"240";"0";"0";"613";"320";"437";"0"
"2016-08-05 14:46:00";"167";"10";"1";"0";"0";"507";"0";"0";"833";"291";"120";"0"
"2016-08-05 15:46:00";"191";"10";"1";"0";"0";"537";"0";"0";"1629";"51";"69";"0"
"2016-08-05 16:46:00";"202";"10";"0";"0";"0";"132";"0";"0";"1163";"779";"480";"0"
"2016-08-05 17:46:00";"214";"10";"1";"0";"0";"97";"0";"0";"1950";"598";"205";"0"
