Date;Date (PC1900);Time, Instrument (julian days);Temperature (ITS-90, deg C);Conductivity (S/m);Salinity, Practical (PSU);Oxygen, SBE43 (mL/L);Oxygen, SBE43 (% saturation);pH
10/04/2009 00:01;39913;100.001;27.6302;5.77032;36.3223;4.32344;96.0612;8.178
10/04/2009 00:31;39913;100.022;27.8112;5.78572;36.2912;4.25939;94.9024;8.173
10/04/2009 01:01;39913;100.042;27.8514;5.78896;36.2831;4.21569;93.9862;8.172
10/04/2009 01:31;39913.1;100.063;27.471;5.75341;36.3257;4.31361;95.5947;8.173
10/04/2009 02:01;39913.1;100.084;27.4858;5.75555;36.3295;4.33675;96.1331;8.177
10/04/2009 02:31;39913.1;100.105;27.6554;5.77147;36.311;4.3173;95.9584;8.174
10/04/2009 03:01;39913.1;100.126;27.1059;5.71707;36.3507;4.34845;95.8031;8.174
10/04/2009 03:31;39913.1;100.147;26.9028;5.69612;36.3593;4.34258;95.3582;8.172
10/04/2009 04:01;39913.2;100.167;26.8287;5.68936;36.3688;4.3659;95.7579;8.175
10/04/2009 04:31;39913.2;100.188;26.812;5.68773;36.3701;4.36667;95.7492;8.174
10/04/2009 05:01;39913.2;100.209;26.8657;5.69391;36.3725;4.39808;96.5249;8.177
10/04/2009 05:31;39913.2;100.23;26.854;5.69326;36.377;4.40111;96.5752;8.177
10/04/2009 06:01;39913.2;100.251;26.7605;5.68299;36.3764;4.35739;95.4675;8.174
10/04/2009 06:31;39913.3;100.272;26.4789;5.65218;36.3754;4.26048;92.9085;8.169
10/04/2009 07:01;39913.3;100.292;26.3164;5.63456;36.3757;4.2584;92.6127;8.167
10/04/2009 07:31;39913.3;100.313;26.0386;5.60478;36.3786;4.24036;91.7952;8.168
10/04/2009 08:01;39913.3;100.334;26.7822;5.68631;36.3833;4.38776;96.1712;8.179
10/04/2009 08:31;39913.4;100.355;26.5796;5.66363;36.3788;4.31643;94.2882;8.173
10/04/2009 09:01;39913.4;100.376;26.2317;5.62608;36.3809;4.23517;91.9802;8.168
10/04/2009 09:31;39913.4;100.397;26.5288;5.6581;36.3789;4.31103;94.0908;8.172
10/04/2009 10:01;39913.4;100.417;28.023;5.80034;36.2311;4.09132;91.4427;8.165
10/04/2009 10:31;39913.4;100.438;27.6681;5.76748;36.2728;4.16315;92.5315;8.169
10/04/2009 11:01;39913.5;100.459;28.1558;5.81493;36.2317;4.08247;91.4428;8.167
10/04/2009 11:31;39913.5;100.48;27.3033;5.73465;36.3224;4.25689;94.0766;8.167
10/04/2009 12:01;39913.5;100.501;27.1059;5.71484;36.3347;4.26221;93.8947;8.17
10/04/2009 12:31;39913.5;100.522;27.1821;5.72312;36.3345;4.28951;94.6148;8.172
10/04/2009 13:01;39913.5;100.542;27.7742;5.77918;36.2736;4.21208;93.7824;8.169
10/04/2009 13:31;39913.6;100.563;27.7907;5.78138;36.2764;4.22127;94.0137;8.17
10/04/2009 14:01;39913.6;100.584;27.9839;5.79953;36.2555;4.19042;93.6108;8.169
10/04/2009 14:31;39913.6;100.605;28.238;5.82177;36.2166;4.08104;91.5257;8.162
10/04/2009 15:01;39913.6;100.626;27.4568;5.74987;36.3115;4.27045;94.6088;8.17
10/04/2009 15:31;39913.6;100.647;27.2407;5.72934;36.3333;4.35792;96.216;8.172
10/04/2009 16:01;39913.7;100.667;27.1842;5.72365;36.3367;4.36089;96.1937;8.171
10/04/2009 16:31;39913.7;100.688;27.3754;5.74232;36.3211;4.34488;96.1342;8.175
10/04/2009 17:01;39913.7;100.709;27.1008;5.71541;36.3428;4.33138;95.4148;8.17
10/04/2009 17:31;39913.7;100.73;26.4584;5.65107;36.3834;4.29857;93.7115;8.169
