DateTime,recouvrement corr %,der_rec,temps,v_der_rec,Temperature,MMM,dhw,Acute thermal stress,thermal_stress_category,Acute thermal stress plage,thermal_stress_category_plage,phioc,Hauteur,Période,puissance,Hauteur f,Période f,puissance f,Hauteur STL,Période STL,puissance STL
2005-08-13,4.566725017123682,-0.009295427259765177,1.0,-0.009295427259765177,27.06311532306582,29.179699458364787,0.6810220902370219,0,0.0,0,0,-3.17867400483354,1.7899006616973423,10.039235129254587,15335.840132391471,0.2428444780752722,1.0568991657894269,29.719336543628387,1.8816370705285532,10.167247008720624,17164.22446358447
2005-08-14,4.557456069755991,-0.009268947367690572,1.0,-0.009268947367690572,27.000241518086884,29.179699458364787,0.6810220902370219,0,0.0,0,0,-3.76592684397744,1.8311482852988603,8.60055999232112,13750.63797897997,0.2834257699556112,-0.3666717026907044,-14.04446353852384,1.9586675060792984,9.349271481259526,17102.054944205425
2005-08-15,4.548213602280377,-0.009242467475614191,1.0,-0.009242467475614191,26.92118535250033,29.179699458364787,0.6810220902370219,0,0.0,0,0,-3.1766296085266865,1.6190145034340822,8.92298074971241,11152.199350387384,0.0751173644169068,-1.6813529128412164e-05,-4.52364643702868e-05,1.817155047725332,9.478234150670746,14923.149591072932
2005-08-16,4.53899761469684,-0.009215987583536922,1.0,-0.009215987583536922,26.83327922368465,29.179699458364787,0.6810220902370219,0,0.0,0,0,-2.749861879470849,1.3735593191937918,8.552197197644071,7693.4588534443155,-0.1544734937100459,-0.3267900361642257,-3.718140818707763,1.6683799592113937,9.06877180501295,12036.147250482269
2005-08-17,4.52980810700538,-0.009189507691460541,1.0,-0.009189507691460541,26.75895606050421,29.179699458364787,0.6810220902370219,0,0.0,0,0,-2.209936814830627,1.2495169301656377,8.696781669675813,6474.286988602674,-0.2532949469787648,-0.1336677081562856,-4.08910858597213,1.512752379608085,8.696439223653046,9489.1266940599
2005-08-18,4.520645079205996,-0.00916302779938416,1.0,-0.00916302779938416,26.717005131241148,29.179699458364787,0.6810220902370219,0,0.0,0,0,-3.1159110382131137,1.5738335008079334,9.384914965976876,11084.012386641018,0.0901026204550126,0.5790743694780127,2.241600815423396,1.7405555273177986,8.999184466636464,12999.540729403268
2005-08-19,4.511508531298688,-0.00913654790730778,1.0,-0.00913654790730778,26.69915495073809,29.179699458364787,0.6810220902370219,0,0.0,0,0,-3.49448212433486,1.9269170349551163,9.41081859419944,16661.055982129375,0.443524714958716,0.609465733746941,57.16550356253253,1.9274106717452024,9.460639143940504,16757.84177446396
2005-08-20,4.502398463283456,-0.009110068015231398,1.0,-0.009110068015231398,26.70013160202824,29.179699458364787,0.6810220902370219,0,0.0,0,0,-3.354236537684655,1.9483502066615597,9.20928568760206,16668.982054103803,0.455156384112248,0.4166324777355738,41.15508359232756,1.878633354014036,9.570197040170696,16104.75144276204
2005-08-21,4.493314875160301,-0.009083588123155018,1.0,-0.009083588123155018,26.71290319582251,29.179699458364787,0.6810220902370219,0,0.0,0,0,-3.581471187191509,1.7656022458077834,8.429625387763544,12529.770305132868,0.2670724013239555,-0.3286846688890857,-11.178577947107296,1.7992869467288686,9.291705455614332,14343.17781182272
2005-08-22,4.484257766929223,-0.009057108231078637,1.0,-0.009057108231078637,26.73839379449546,29.179699458364787,0.6810220902370219,0,0.0,0,0,-3.0137934426857407,2.134846549990096,10.698033092830812,23248.04054418537,0.6260249361493739,1.932950944266497,361.2045288982825,1.9968711239859191,10.464671953791688,19896.41275142092
