DateTime,phioc
1987-06-19,-2.986191936122284
1987-06-20,-2.9071379654531064
1987-06-21,-3.225137020400554
1987-06-22,-3.292897566688422
1987-06-23,-4.486236076313639
1987-06-24,-6.9533539779993845
1987-06-25,-4.314457147566326
1987-06-26,-3.299237734762137
1987-06-27,-3.006004961352654
1987-06-28,-2.357128385058015
1987-06-29,-2.9346780705233164
1987-06-30,-3.2568378607691444
1987-07-01,-5.135310782860579
1987-07-02,-2.0379405485967474
1987-07-03,-1.9836528594655327
1987-07-04,-2.176433594957041
1987-07-05,-3.1030887849814697
1987-07-06,-3.2245426296436412
1987-07-07,-2.849085801528117
1987-07-08,-2.6608620618395995
1987-07-09,-2.6261892676864504
1987-07-10,-2.8387830284083293
1987-07-11,-4.323967399676904
1987-07-12,-3.355110465911783
